Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
ABTX,"Allegiance Bancshares, Inc.",33.95,438127058.6,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/abtx
ALGT,Allegiant Travel Company,172.55,2855036802,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/algt
AIQ,"Alliance HealthCare Services, Inc.",7.95,85371480.45,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aiq
AHGP,"Alliance Holdings GP, L.P.",31.06,1859344780,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ahgp
AMMA,"Alliance MMA, Inc.",3.8,33778116.4,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/amma
ARLP,"Alliance Resource Partners, L.P.",25.5,1896563138,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/arlp
AHPI,"Allied Healthcare Products, Inc.",2.69,10796514.06,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ahpi
AMOT,"Allied Motion Technologies, Inc.",23.69,222006357.6,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/amot
ALQA,"Alliqua BioMedical, Inc.",0.64,18990096,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/alqa
ALLT,Allot Communications Ltd.,4.94,165777023.9,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/allt
MDRX,"Allscripts Healthcare Solutions, Inc.",11.11,2056357933,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/mdrx
AFAM,Almost Family Inc,40.05,415446579.9,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/afam
ALNY,"Alnylam Pharmaceuticals, Inc.",42.25,3625635965,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/alny
AOSL,Alpha and Omega Semiconductor Limited,22.99,535567131.4,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aosl
GOOG,Alphabet Inc.,789.29,5.44009E+11,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/goog
GOOGL,Alphabet Inc.,809.45,5.57904E+11,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/googl
SMCP,AlphaMark Actively Managed Small Cap ETF,22.678,24945233.05,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/smcp
ATEC,"Alphatec Holdings, Inc.",4.9,43657044.9,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/atec
ASPS,Altisource Portfolio Solutions S.A.,27.92,527062982.9,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/asps
AIMC,Altra Industrial Motion Corp.,39.8,1030196055,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aimc
AMAG,"AMAG Pharmaceuticals, Inc.",34,1163131262,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/amag
AMRN,Amarin Corporation plc,3.22,804680321.6,249900721,n/a,n/a,n/a,http://www.nasdaq.com/symbol/amrn
AMRK,"A-Mark Precious Metals, Inc.",17.86,125581697,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/amrk
AYA,Amaya Inc.,14.45,2095187533,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aya
AMZN,"Amazon.com, Inc.",768.66,3.65242E+11,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/amzn
AMBC,"Ambac Financial Group, Inc.",26.74,1206556611,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ambc
AMBCW,"Ambac Financial Group, Inc.",14.96,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ambcw
AMBA,"Ambarella, Inc.",54.46,1780830237,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/amba
AMCX,AMC Networks Inc.,52.4,3690367831,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/amcx
DOX,Amdocs Limited,60.57,8955395640,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/dox
AMDA,Amedica Corporation,0.6649,17555022.91,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/amda
AMED,Amedisys Inc,42.05,1411601722,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/amed
UHAL,Amerco,372.06,7295273603,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/uhal
